FIELD_NAME	FIELD_TYPE	FIELD_LEN	FIELD_DEC	FIELD_LABL	QUEST_LOC	MISSING	NOTAPPL	DEFAULT	FIELD_VALI	FIELD_CODE	FIELD_EDIT	FIELD_CARR	ORDER_SCRN	ORDER_FILE	COMMENT1	MEAS_CLASS	IDBOOK	FMT	VALID_VAL	MIN_MAX	FILTER_VAR	FILTER_CND	CONFIRMED
IDCNTRY	N	5	0	*COUNTRY ID*	COUNTRY				.T.	IDCNTRY ID:VALUE;	0	1	1	1		ID			.T.				
IDBOOK	C	2	0	*BOOKLET ID*	BOOKLET	99	98		IDBOOK$'1#2#3#4#5#6#7#8#9#10#11#12#13#14#99#98'	BOOK 1:1;BOOK 2:2;BOOK 3:3;BOOK 4:4;BOOK 5:5;BOOK 6:6;BOOK 7:7;BOOK 8:8;BOOK 9:9;BOOK 10:10;BOOK 11:11;BOOK 12:12;BOOK 13:13;BOOK 14:14;omitted:99;not admin.:98;	1	0	2	2		ID			1;2;3;4;5;6;7;8;9;10;11;12;13;14;				
IDSCHOOL	N	4	0	*SCHOOL ID*	SCHOOL				(IDSCHOOL>=1.AND.IDSCHOOL<=9996)	IDSCHOOL ID:VALUE;	1	0	3	3		ID				1;9996			
IDCLASS	N	6	0	*CLASS ID*	CLASS				(IDCLASS>=101.AND.IDCLASS<=999996)	IDCLASS ID:VALUE;	0	1	4	4		ID				101;999996			
IDSTUD	N	8	0	*STUDENT ID*	STUD				(IDSTUD>=10101.AND.IDSTUD<=99999996)	IDSTUD ID:VALUE;	1	0	5	5		ID				10101;99999996			
M032166	C	1	0	BEST ESTIMATE OF (7.21X3.86)/10.09 (B)	(M01_01)	9	8	7	M032166$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	6	6	NUMBER\KNOWING (T) (M01_01)	M2	1,14		1;2;3;4;				
M032721	C	1	0	SALES OF TWO TYPES OF SOFT DRINK (B)	(M01_02)	9	8	7	M032721$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	7	7	DATA AND CHANCE\REASONING (T) (M01_02)	M2	1,14		1;2;3;4;				
M032757	C	2	0	RED&BLACKTILES_COMPLETE TABLE (2)	(M01_03)	99	98	97	M032757$'20#10#70#79#99#98#96'	CORRECT RESPONSE:20;PARTIALLY CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	8	8	ALGEBRA\REASONING (T) (M01_03)	SA	1,14		20;10;70;79;				
M032760A	C	2	0	RED&BLACKTILES_SHAPE WITH 64 TILES (2)	(M01_04A)	99	98	97	M032760A$'20#10#11#79#99#98#96'	CORRECT RESPONSE:20;PARTIALLY CORRECT RESPONSE:10;PARTIALLY CORRECT RESPONSE:11;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	9	9	ALGEBRA\REASONING (T) (M01_04)	SA	1,14		20;10;11;79;				
M032760B	C	2	0	RED&BLACKTILES_SHAPE WITH 49 TILES (1)	(M01_04B)	99	98	97	M032760B$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	10	10	ALGEBRA\REASONING (T) (M01_04)	SA	1,14		10;79;				
